"id","year","marstat","emergency_savings","married"
1114,2012,3,0,0
1116,2012,3,0,0
1117,2012,1,1,1
1118,2012,1,0,1
1122,2012,3,0,0
1127,2012,3,0,0
1129,2012,0,0,0
1130,2012,1,0,1
1131,2012,1,0,1
1132,2012,3,0,0
1134,2012,1,0,1
1139,2012,0,1,0
1140,2012,1,1,1
1141,2012,3,0,0
1142,2012,1,1,1
1143,2012,1,0,1
1144,2012,0,1,0
1147,2012,3,0,0
1148,2012,3,0,0
1149,2012,3,0,0
1150,2012,3,1,0
1152,2012,0,1,0
1153,2012,0,0,0
1155,2012,1,0,1
1156,2012,0,1,0
1158,2012,3,0,0
1159,2012,1,0,1
1160,2012,1,0,1
1161,2012,3,0,0
1163,2012,1,0,1
1165,2012,1,0,1
1166,2012,1,0,1
1169,2012,1,1,1
1170,2012,1,1,1
1171,2012,0,1,0
1172,2012,1,1,1
1174,2012,1,1,1
1175,2012,0,1,0
1176,2012,1,1,1
1177,2012,1,1,1
1178,2012,1,0,1
1179,2012,1,1,1
1180,2012,3,1,0
1182,2012,1,1,1
1184,2012,1,1,1
1185,2012,3,1,0
1186,2012,1,1,1
1187,2012,1,0,1
1188,2012,3,1,0
1189,2012,1,1,1
1190,2012,1,0,1
1191,2012,1,0,1
1192,2012,1,0,1
1193,2012,1,1,1
1195,2012,1,0,1
1198,2012,3,0,0
1199,2012,1,0,1
1200,2012,3,0,0
1201,2012,0,0,0
1204,2012,0,0,0
1205,2012,1,0,1
1206,2012,1,0,1
1207,2012,2,0,0
1208,2012,0,1,0
1210,2012,2,0,0
1211,2012,0,0,0
1212,2012,3,0,0
1213,2012,0,0,0
1215,2012,1,1,1
1216,2012,1,0,1
1220,2012,1,0,1
1221,2012,3,0,0
1222,2012,1,0,1
1224,2012,0,0,0
1225,2012,6,0,0
1226,2012,0,0,0
1227,2012,6,0,0
1229,2012,1,1,1
1230,2012,2,1,0
1231,2012,1,0,1
1233,2012,2,0,0
1234,2012,1,1,1
1235,2012,1,0,1
1236,2012,1,0,1
1237,2012,3,0,0
1238,2012,1,0,1
1240,2012,3,1,0
1241,2012,3,1,0
1242,2012,1,0,1
1243,2012,3,0,0
1244,2012,3,0,0
1245,2012,3,0,0
1246,2012,3,0,0
1247,2012,3,0,0
1249,2012,3,0,0
1250,2012,1,1,1
1252,2012,3,1,0
1253,2012,1,1,1
1256,2012,1,1,1
1257,2012,1,0,1
1258,2012,1,0,1
1259,2012,1,1,1
1260,2012,1,0,1
1261,2012,3,0,0
1262,2012,1,1,1
1263,2012,1,0,1
1265,2012,0,0,0
1266,2012,1,1,1
1267,2012,3,0,0
1269,2012,1,0,1
1272,2012,1,0,1
1274,2012,3,0,0
1276,2012,3,0,0
1279,2012,1,0,1
1280,2012,1,1,1
1281,2012,3,1,0
1282,2012,3,0,0
1283,2012,1,1,1
1285,2012,3,0,0
1286,2012,3,0,0
1287,2012,1,1,1
1288,2012,1,0,1
1289,2012,0,1,0
1290,2012,0,0,0
1291,2012,3,1,0
1292,2012,1,0,1
1293,2012,1,1,1
